Source,Target,Weight
EC-RUC-0160006390001-12070,EC-RUC-0990015325001-6470,3
EC-RUC-0160006390001-12070,EC-RUC-1790475689001-5192,3
EC-RUC-0160006390001-12070,EC-RUC-1790824977001-15302,4
EC-RUC-0160006390001-12070,EC-RUC-1791715535001-55257,3
EC-RUC-0160006390001-12070,EC-RUC-1792026741001-207513,3
EC-RUC-0160006390001-12070,EC-RUC-1792397294001-721961,4
EC-RUC-0160006390001-12070,EC-RUC-1792552397001-718058,3
EC-RUC-0160006390001-12070,EC-RUC-1792601193001-716024,4
EC-RUC-0160006390001-12070,ID-1791830105001-2928,4
EC-RUC-0160006710001-125302,EC-RUC-0190123626001-40900,25
EC-RUC-0160006710001-125302,EC-RUC-0190319121001-68782,5
EC-RUC-0160006710001-125302,EC-RUC-1791991087001-8581,3
EC-RUC-0160006980001-130055,EC-RUC-0190123626001-40900,25
EC-RUC-0160006980001-130055,EC-RUC-0190319121001-68782,3
EC-RUC-0160017400001-87497,EC-RUC-0190146677001-11735,3
EC-RUC-0160017400001-87497,EC-RUC-1790371506001-4638,4
EC-RUC-0360020930001-97105,EC-RUC-1790691810001-4033,9
EC-RUC-0560005770001-17082,EC-RUC-1790691810001-4033,4
EC-RUC-0560005770001-17082,EC-RUC-1791222032001-4906,3
EC-RUC-0560005770001-17082,EC-RUC-1791931483001-10379,4
EC-RUC-0560005770001-17082,EC-RUC-1792026741001-207513,4
EC-RUC-0560005770001-17082,EC-RUC-1803665007001-897713,3
EC-RUC-0560006660001-99635,EC-RUC-1792421772001-495705,4
EC-RUC-0560006660001-99635,EC-RUC-1890000130001-27623,4
EC-RUC-0560007550001-2489,EC-RUC-1791412559001-7106,4
EC-RUC-0760033350001-2763,EC-RUC-0701189359001-35730,3
EC-RUC-0760033350001-2763,EC-RUC-0991410465001-11294,3
EC-RUC-0760051170001-577465,EC-RUC-0991410465001-11294,3
EC-RUC-0860004310001-8531,EC-RUC-1791412559001-7106,4
EC-RUC-0860005120001-15195,EC-RUC-0991410465001-11294,4
EC-RUC-0968503790001-29399,EC-RUC-1790691810001-4033,3
EC-RUC-0968504090001-152128,EC-RUC-0991410465001-11294,4
EC-RUC-0968505300001-131240,EC-RUC-0991410465001-11294,4
EC-RUC-0968509210001-101441,EC-RUC-0991410465001-11294,3
EC-RUC-0968520100001-5702,EC-RUC-1791222032001-4906,4
EC-RUC-0968520100001-5702,EC-RUC-1791715535001-55257,4
EC-RUC-0968520100001-5702,EC-RUC-1792421772001-495705,9
EC-RUC-0968560160001-2810,EC-RUC-0990289751001-13243,4
EC-RUC-0968560160001-2810,EC-RUC-1790233332001-41388,3
EC-RUC-0968560160001-2810,EC-RUC-1790691810001-4033,4
EC-RUC-0968560160001-2810,EC-RUC-1791434501001-899331,3
EC-RUC-0968560160001-2810,EC-RUC-1792026741001-207513,4
EC-RUC-0968560160001-2810,EC-RUC-1792390834001-785808,5
EC-RUC-0968593330001-387857,EC-RUC-0992187905001-6835,144
EC-RUC-0968595540001-432196,EC-RUC-0992382333001-14454,3
EC-RUC-0968595540001-432196,EC-RUC-1709121451001-6155,3
EC-RUC-0968606840001-818925,EC-RUC-0190146677001-11735,4
EC-RUC-0968606840001-818925,EC-RUC-1792026741001-207513,3
EC-RUC-1060015100001-3260,EC-RUC-1790371506001-4638,4
EC-RUC-1160004660001-8458,EC-RUC-0190146677001-11735,64
EC-RUC-1160004660001-8458,EC-RUC-0190360636001-235446,6
EC-RUC-1160004660001-8458,EC-RUC-1790824977001-15302,4
EC-RUC-1160033250001-82169,EC-RUC-1790475689001-5192,3
EC-RUC-1160033250001-82169,EC-RUC-1791222032001-4906,3
EC-RUC-1160033250001-82169,EC-RUC-1791271750001-5774,4
EC-RUC-1160033250001-82169,EC-RUC-1792026741001-207513,3
EC-RUC-1260005880001-129424,EC-RUC-0991410465001-11294,3
EC-RUC-1260049310001-782624,EC-RUC-1791412559001-7106,3
