Id,Label
EC-RUC-1768034950001-40576,HOSPITAL PEDIATRICO BACA ORTIZ
EC-RUC-1768034790001-49010,Hospital Gíneco Obstétrico Isidro Ayora
EC-RUC-1768033550001-29340,HOSPITAL PROVINCIAL GENERAL PABLO ARTURO SUAREZ
EC-RUC-1060004680001-14094,DIRECCION DISTRITAL DE SALUD N 10D01
EC-RUC-1768012710001-43246,HOSPITAL DE ESPECIALIDADES FUERZAS ARMADAS NO. 1
EC-RUC-1865000750001-2728,HOSPITAL DOCENTE DE AMBATO
EC-RUC-2260015300001-537258,DIRECCION DISTRITAL 22D02 ORELLANA - LORETO SALUD
EC-RUC-1560500830001-24750,DIRECCION DISTRITAL 15D01-ARCHIDONA-CARLOS JULIO AROSEMENA TOLA-TENA-SALUD
EC-RUC-1360051970001-89917,IESS HOSPITAL DE CHONE
EC-RUC-1768046450001-54651,HOSPITAL DE ESPECIALIDADES CARLOS ANDRADE MARIN
EC-RUC-1768033980001-52558,Hospital Eugenio Espejo
EC-RUC-0160017400001-87497,HOSPITAL DE ESPECIALIDADES JOSÉ CARRASCO ARTEAGA
EC-RUC-1768034520001-106745,HOSPITAL GENERAL ENRIQUE GARCES
EC-RUC-2360006130001-519694,HOSPITAL GENERAL IESS SANTO DOMINGO
EC-RUC-1768161120001-390394,HOSPITAL SAN FRANCISCO DE QUITO
EC-RUC-1768189800001-868544,Hospital General del Sur de Quito
EC-RUC-1160004660001-8458,HOSPITAL PROVINCIAL GENERAL ISIDRO AYORA
EC-RUC-0660828300001-2561,HOSPITAL GENERAL RIOBAMBA
EC-RUC-1768056410001-20291,Hospital Quito No.1 de la Policia Nacional
EC-RUC-1560500670001-15857,HOSPITAL JOSE MARIA VELASCO IBARRA DE TENA
EC-RUC-0968503790001-29399,HOSPITAL DEL NIÑO FY
EC-RUC-0760005140001-141697,"HOSPITAL OBSTETRICO ""ANGELA LOAYZA DE OLLAGUE"""
EC-RUC-0760004760001-48853,HOSPITAL GENERAL TEOFILO DAVILA
EC-RUC-0968560160001-2810,HOSPITAL DE ESPECIALIDADES - TEODORO MALDONADO CARBO
EC-RUC-1768181150001-594674,HOSPITAL GENERAL DOCENTE DE CALDERON
EC-RUC-1768182120001-730708,HOSPITAL GÍNECO OBSTÉTRICO PEDIÁTRICO DE NUEVA AURORA LUZ ELENA ARISMENDI
EC-RUC-0990064474001-2205,SEGUROS SUCRE S.A.
EC-RUC-1790691810001-4033,SIMED S. A.
EC-RUC-1791412559001-7106,MEDILABOR S.A.
EC-RUC-1791727649001-9991,DISTRIBUIDORA DE REACTIVOS Y EQUIPOS DE LABORATORIO BUISAR CIA. LTDA.
EC-RUC-1790972186001-1940,ECUASURGICAL S.A.
EC-RUC-0990289751001-13243,BIOELECTRONICA BLANCO BLANCOSA S.A.
EC-RUC-1790642992001-3710,CORPOMEDICA CIA. LTDA.
EC-RUC-0992283343001-18501,PERFECTECH S.A.
EC-RUC-1792390834001-785808,SIEMENS-HEALTHCARE CIA LTDA
EC-RUC-0992262192001-3754,LETERAGO DEL ECUADOR S.A
EC-RUC-0190146677001-11735,ALVAREZ LARREA EQUIPOS MEDICOS ALEM CIA. LTDA.
EC-RUC-0991312080001-3759,FRESENIUS KABI S.A
EC-RUC-0992428678001-64015,HEALTHCORP S.A.
EC-RUC-0190085422001-2884,RECOR DENTAL Y QUIMEDIC CIA. LTDA
EC-RUC-1791902564001-11306,TOP MEDICAL ECUADOR S.A.
ID-1790411605001-45700,SANOFI - AVENTIS DEL ECUADOR S.A.
EC-RUC-1790371506001-4638,QUIFATEX S.A.
EC-RUC-1792029678001-209299,MAXIMAMEDICAL CIA. LTDA.
EC-RUC-1791222032001-4906,B.BRAUN MEDICAL S.A.
ID-1791830105001-2928,NIPRO MEDICAL CORPORATION
EC-RUC-0990000670001-98153,ABBOTT LABORATORIOS DEL ECUADOR CIA. LTDA.
EC-RUC-1790984141001-4061,INTERMEDICA CIA. LTDA.
EC-RUC-1791973704001-1673,MEDICINA GLOBAL GLOMEDICAL CIA. LTDA.
EC-RUC-1792569397001-598626,PFIZER PFE CIA.LTDA.
EC-RUC-1791770722001-8759,DT MEDICAL EQUIPOS E INSUMOS MEDICOS S.A.
EC-RUC-1708223027001-404273,ANDRADE LARA JAVIER ROBERTO
EC-RUC-1705906491001-12972,Mena Salazar William Rodrigo
